ticker,bucket,sector,local_pdf,fiscal_year_offset,offset_evidence
AAPL,general,Information Technology,apple_10k_2023.pdf,,
MSFT,general,Information Technology,microsoft_fy24.pdf,,
GOOGL,general,Communication Services,,,
AMZN,general,Consumer Discretionary,,,
META,general,Communication Services,,,
NVDA,general,Information Technology,,,
ORCL,general,Information Technology,,,
CSCO,general,Information Technology,,,
IBM,general,Information Technology,,,
INTC,general,Information Technology,,,
ADBE,general,Information Technology,,,
CRM,general,Information Technology,,,
KO,general,Consumer Staples,,,
PEP,general,Consumer Staples,,,
PG,general,Consumer Staples,,,
WMT,general,Consumer Staples,,,
COST,general,Consumer Staples,,,
HD,general,Consumer Discretionary,,-1,"p45 Consolidated Statements of Earnings and p48 Consolidated Statements of Cash Flows head the year ended 2026-02-01 ""Fiscal 2025"""
NKE,general,Consumer Discretionary,,,
MCD,general,Consumer Discretionary,,,
SBUX,general,Consumer Discretionary,,,
JNJ,general,Health Care,,,
PFE,general,Health Care,,,
MRK,general,Health Care,,,
ABBV,general,Health Care,,,
UNH,general,Health Care,,,
XOM,general,Energy,,,
CVX,general,Energy,,,
CAT,general,Industrials,,,
DE,general,Industrials,,,
HON,general,Industrials,,,
BA,general,Industrials,,,
UPS,general,Industrials,,,
LMT,general,Industrials,,,
T,general,Communication Services,,,
VZ,general,Communication Services,,,
DIS,general,Communication Services,,,
NFLX,general,Communication Services,,,
TSLA,general,Consumer Discretionary,,,
F,general,Consumer Discretionary,,,
GM,general,Consumer Discretionary,,,
LOW,general,Consumer Discretionary,,,
JPM,financial,Financials,,,
BAC,financial,Financials,,,
WFC,financial,Financials,,,
GS,financial,Financials,,,
BRK-B,financial,Financials,berkshire_2023.pdf,,
MET,financial,Financials,,,
AIG,financial,Financials,,,
MBIN,financial,Financials,merchants_bank_2024.pdf,,
